condition,description,title,brand,price,product_type,custom_label_0,timestamp
used,Used 2021 GMC Sierra 1500,Pre-Owned 2021 GMC Sierra 1500 Denali Crew Cab,GMC,38000 USD,Truck,Sierra 1500,22-10-2024 18:02
used,Used 2020 Honda Odyssey,Pre-Owned 2020 Honda Odyssey EX-L,Honda,28873 USD,Minivan,Odyssey,13-12-2024 01:03
used,Used 2021 Buick Enclave,Pre-Owned 2021 Buick Enclave Essence,Buick,32501 USD,SUV,Enclave,11-05-2024 20:25
used,Used 2019 GMC Sierra 1500,Pre-Owned 2019 GMC Sierra 1500 Denali Crew Cab,GMC,38324 USD,Truck,Sierra 1500,16-06-2024 08:32
used,Used 2022 GMC Yukon,Pre-Owned 2022 GMC Yukon Denali,GMC,65000 USD,SUV,Yukon,08-09-2024 04:13
used,Used 2024 GMC Savana 2500,Pre-Owned 2024 GMC Savana 2500 Work Van,GMC,40000 USD,Other,Savana 2500,30-11-2024 01:08
used,Used 2023 Buick Envision,Pre-Owned 2023 Buick Envision Preferred,Buick,28837 USD,SUV,Envision,18-05-2024 18:00
used,Used 2024 GMC Sierra 3500HD,Pre-Owned 2024 GMC Sierra 3500HD Denali Ultimate Crew Cab,GMC,88297 USD,Truck,Sierra 3500HD,25-06-2024 09:11
used,Used 2023 GMC Sierra 2500 HD,Pre-Owned 2023 GMC Sierra 2500 HD AT4 Crew Cab,GMC,62321 USD,Truck,Sierra 2500 HD,12-02-2024 05:49
used,Used 2013 International Workstar,Pre-Owned 2013 International Workstar 7500,International,60000 USD,Truck,Workstar,09-08-2024 04:47
used,Used 2021 Chevrolet Silverado 3500 HD,Pre-Owned 2021 Chevrolet Silverado 3500 HD LTZ Crew Cab,Chevrolet,59166 USD,Truck,Silverado 3500 HD,15-05-2024 01:21
used,Used 2023 GMC Sierra 2500HD,Pre-Owned 2023 GMC Sierra 2500HD SLE Double Cab,GMC,58000 USD,Truck,Sierra 2500HD,03-12-2024 15:32
used,Used 2022 Chevrolet Silverado 1500,Pre-Owned 2022 Chevrolet Silverado 1500 ZR2 Crew Cab,Chevrolet,56020 USD,Truck,Silverado 1500,12-08-2024 23:22
used,Used 2020 Chevrolet Silverado 3500HD,Pre-Owned 2020 Chevrolet Silverado 3500HD LTZ Crew Cab,Chevrolet,55421 USD,Truck,Silverado 3500HD,09-09-2024 20:48
used,Used 2022 Toyota Tundra Hybrid,Pre-Owned 2022 Toyota Tundra Hybrid 1794 Edition Crew Cab,Toyota,54977 USD,Truck,Tundra Hybrid,24-11-2024 06:23
used,Used 2021 GMC Yukon,Pre-Owned 2021 GMC Yukon AT4,GMC,52444 USD,SUV,Yukon,17-10-2024 05:52
used,Used 2022 Jeep Wagoneer,Pre-Owned 2022 Jeep Wagoneer Series III,Jeep,52158 USD,SUV,Wagoneer,24-10-2024 07:14
used,Used 2020 GMC Sierra 3500HD,Pre-Owned 2020 GMC Sierra 3500HD SLT Crew Cab,GMC,52000 USD,Truck,Sierra 3500HD,03-12-2024 21:56
used,Used 2023 Jeep Grand Cherokee,Pre-Owned 2023 Jeep Grand Cherokee Summit,Jeep,45936 USD,SUV,Grand Cherokee,31-10-2024 20:31
used,Used 2023 Chevrolet Silverado 1500,Pre-Owned 2023 Chevrolet Silverado 1500 RST Crew Cab,Chevrolet,44149 USD,Truck,Silverado 1500,05-10-2024 20:12
used,Used 2020 GMC Sierra 1500,Pre-Owned 2020 GMC Sierra 1500 AT4 Crew Cab,GMC,42252 USD,Truck,Sierra 1500,03-02-2024 18:29
used,Used 2023 GMC Sierra 1500,Pre-Owned 2023 GMC Sierra 1500 Elevation Double Cab,GMC,40810 USD,Truck,Sierra 1500,27-05-2024 04:32
used,Used 2022 Chevrolet Silverado 1500,Pre-Owned 2022 Chevrolet Silverado 1500 RST Crew Cab,Chevrolet,40000 USD,Truck,Silverado 1500,03-06-2024 03:07
used,Used 2021 Chevrolet Silverado 1500,Pre-Owned 2021 Chevrolet Silverado 1500 RST Crew Cab,Chevrolet,39000 USD,Truck,Silverado 1500,05-06-2024 15:25
used,Used 2022 Ford Bronco Sport,Pre-Owned 2022 Ford Bronco Sport Badlands,Ford,28640 USD,SUV,Bronco Sport,06-05-2024 19:07
used,Used 2021 GMC Terrain,Pre-Owned 2021 GMC Terrain SLE,GMC,21056 USD,SUV,Terrain,18-01-2024 00:58
used,Used 2020 Chevrolet Blazer,Pre-Owned 2020 Chevrolet Blazer RS,Chevrolet,26940 USD,SUV,Blazer,25-03-2024 01:29
used,Used 2023 Chevrolet Malibu,Pre-Owned 2023 Chevrolet Malibu LT,Chevrolet,21627 USD,Sedan,Malibu,19-11-2024 22:57
used,Used 2018 Buick Enclave,Pre-Owned 2018 Buick Enclave Premium Group,Buick,21520 USD,SUV,Enclave,25-08-2024 03:10
used,Used 2020 Chevrolet Blazer,Pre-Owned 2020 Chevrolet Blazer LT,Chevrolet,21456 USD,SUV,Blazer,06-10-2024 20:11
used,Used 2020 GMC Terrain,Pre-Owned 2020 GMC Terrain SLE,GMC,21000 USD,SUV,Terrain,12-03-2024 08:29
used,Used 2019 INFINITI QX60,Pre-Owned 2019 INFINITI QX60 LUXE,INFINITI,20903 USD,SUV,QX60,14-09-2024 23:17
used,Used 2018 Ram 1500,Pre-Owned 2018 Ram 1500 Big Horn Crew Cab,Ram,20806 USD,Truck,1500,19-08-2024 10:10
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20780 USD,SUV,Equinox,08-02-2024 16:59
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20602 USD,SUV,Equinox,28-05-2024 06:38
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20526 USD,SUV,Equinox,07-09-2024 12:51
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20317 USD,SUV,Equinox,01-11-2024 00:27
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,20049 USD,SUV,Equinox,11-04-2024 21:17
used,Used 2021 GMC Terrain,Pre-Owned 2021 GMC Terrain SLE,GMC,19936 USD,SUV,Terrain,17-05-2024 00:57
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,21852 USD,SUV,Equinox,11-01-2024 01:48
used,Used 2017 Ford Explorer,Pre-Owned 2017 Ford Explorer XLT,Ford,19035 USD,SUV,Explorer,27-05-2024 09:39
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,18539 USD,SUV,Equinox,28-11-2024 12:08
used,Used 2020 Buick Encore GX,Pre-Owned 2020 Buick Encore GX Select,Buick,18300 USD,SUV,Encore GX,03-11-2024 17:03
used,Used 2020 Chevrolet Equinox,Pre-Owned 2020 Chevrolet Equinox LT,Chevrolet,18000 USD,SUV,Equinox,23-09-2024 22:07
used,Used 2021 Mazda CX-30,Pre-Owned 2021 Mazda CX-30 Select,Mazda,17875 USD,SUV,CX-30,06-11-2024 22:01
used,Used 2021 Chevrolet Trax,Pre-Owned 2021 Chevrolet Trax LT,Chevrolet,17723 USD,SUV,Trax,24-11-2024 15:35
used,Used 2018 Chrysler Pacifica,Pre-Owned 2018 Chrysler Pacifica Touring L Plus,Chrysler,16574 USD,Van,Pacifica,14-06-2024 23:00
used,Used 2018 Ford Escape,Pre-Owned 2018 Ford Escape SE,Ford,16009 USD,SUV,Escape,21-05-2024 16:22
used,Used 2019 Subaru Outback,Pre-Owned 2019 Subaru Outback 2.5i,Subaru,14279 USD,Wagon,Outback,06-10-2024 15:55
used,Used 2014 Chevrolet Traverse,Pre-Owned 2014 Chevrolet Traverse LT,Chevrolet,11671 USD,SUV,Traverse,18-03-2024 23:15
used,Used 2012 Ram 1500,Pre-Owned 2012 Ram 1500 Express Standard Cab,Ram,10000 USD,Truck,1500,27-10-2024 03:21
used,Used 2014 Cadillac SRX,Pre-Owned 2014 Cadillac SRX Luxury,Cadillac,10000 USD,SUV,SRX,12-09-2024 10:58
used,Used 2013 Chrysler Town & Country,Pre-Owned 2013 Chrysler Town & Country Touring-L,Chrysler,8507 USD,Minivan,Town & Country,12-09-2024 16:59
used,Used 2011 Honda CR-V,Pre-Owned 2011 Honda CR-V EX-L,Honda,7809 USD,SUV,CR-V,14-07-2024 06:45
used,Used 2018 Cadillac XT5,Pre-Owned 2018 Cadillac XT5 FWD,Cadillac,18797 USD,SUV,XT5,19-10-2024 11:50
used,Used 2018 GMC Sierra 1500,Pre-Owned 2018 GMC Sierra 1500 SLT Crew Cab,GMC,28244 USD,Truck,Sierra 1500,03-05-2024 23:51
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,21934 USD,SUV,Equinox,30-07-2024 00:30
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,22118 USD,SUV,Equinox,21-01-2024 20:42
used,Used 2019 GMC Acadia,Pre-Owned 2019 GMC Acadia Denali,GMC,26918 USD,SUV,Acadia,03-01-2024 11:11
used,Used 2021 GMC Canyon,Pre-Owned 2021 GMC Canyon Elevation Standard,GMC,26743 USD,Truck,Canyon,08-01-2024 02:39
used,Used 2015 Cadillac Escalade,Pre-Owned 2015 Cadillac Escalade Luxury,Cadillac,26699 USD,SUV,Escalade,25-05-2024 18:21
used,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer LT,Chevrolet,26525 USD,SUV,Blazer,13-11-2024 09:26
used,Used 2020 Chevrolet Silverado 1500,Pre-Owned 2020 Chevrolet Silverado 1500 Custom Crew Cab,Chevrolet,26379 USD,Truck,Silverado 1500,18-11-2024 10:37
used,Used 2022 GMC Terrain,Pre-Owned 2022 GMC Terrain AT4,GMC,26228 USD,SUV,Terrain,29-11-2024 23:14
used,Used 2019 Toyota Highlander,Pre-Owned 2019 Toyota Highlander SE,Toyota,25713 USD,SUV,Highlander,27-01-2024 20:03
used,Used 2019 Ford Explorer,Pre-Owned 2019 Ford Explorer XLT,Ford,25442 USD,SUV,Explorer,14-09-2024 18:26
used,Used 2023 Buick Encore GX,Pre-Owned 2023 Buick Encore GX Select,Buick,25324 USD,SUV,Encore GX,21-11-2024 09:19
used,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer LT,Chevrolet,25254 USD,SUV,Blazer,15-09-2024 00:41
used,Used 2022 Chrysler Pacifica,Pre-Owned 2022 Chrysler Pacifica Touring L,Chrysler,25055 USD,Van,Pacifica,21-08-2024 19:22
used,Used 2022 Chrysler Pacifica,Pre-Owned 2022 Chrysler Pacifica Touring L,Chrysler,25000 USD,Van,Pacifica,09-01-2024 05:17
used,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer LT,Chevrolet,24804 USD,SUV,Blazer,01-08-2024 04:33
used,Used 2021 Subaru Crosstrek,Pre-Owned 2021 Subaru Crosstrek Premium,Subaru,21950 USD,SUV,Crosstrek,07-01-2024 18:30
used,Used 2022 Chrysler Pacifica,Pre-Owned 2022 Chrysler Pacifica Touring L,Chrysler,24667 USD,Van,Pacifica,28-03-2024 15:55
used,Used 2021 Buick Envision,Pre-Owned 2021 Buick Envision Preferred,Buick,24456 USD,SUV,Envision,27-08-2024 11:16
used,Used 2017 Ford F-150,Pre-Owned 2017 Ford F-150 XLT,Ford,24087 USD,Truck,F-150,25-08-2024 16:39
used,Used 2016 Chevrolet Silverado 1500,Pre-Owned 2016 Chevrolet Silverado 1500 LTZ 4WD Crew Cab 1435 LTZ w1LZ,Chevrolet,23500 USD,Truck,Silverado 1500,29-11-2024 12:18
used,Used 2020 GMC Sierra 1500,Pre-Owned 2020 GMC Sierra 1500 SLE Crew Cab,GMC,23313 USD,Truck,Sierra 1500,14-07-2024 23:21
used,Used 2022 Ford Edge,Pre-Owned 2022 Ford Edge SEL,Ford,23293 USD,SUV,Edge,15-07-2024 20:29
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,23105 USD,SUV,Equinox,17-03-2024 17:39
used,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer 3LT,Chevrolet,23067 USD,SUV,Blazer,05-10-2024 21:39
used,Used 2016 Chevrolet Suburban,Pre-Owned 2016 Chevrolet Suburban LT,Chevrolet,23000 USD,SUV,Suburban,08-07-2024 09:26
used,Used 2018 GMC Sierra 1500,Pre-Owned 2018 GMC Sierra 1500 SLT Crew Cab,GMC,22719 USD,Truck,Sierra 1500,24-03-2024 15:27
used,Used 2022 Buick Encore GX,Pre-Owned 2022 Buick Encore GX Preferred,Buick,22606 USD,SUV,Encore GX,25-11-2024 15:44
used,Used 2020 Toyota RAV4,Pre-Owned 2020 Toyota RAV4 XLE,Toyota,22556 USD,SUV,RAV4,04-09-2024 22:12
used,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,22233 USD,SUV,Equinox,06-11-2024 15:30
used,Used 2020 Ford Edge,Pre-Owned 2020 Ford Edge SEL,Ford,22145 USD,SUV,Edge,19-03-2024 00:17
used,Used 2022 GMC Terrain,Pre-Owned 2022 GMC Terrain SLE,GMC,24498 USD,SUV,Terrain,13-08-2024 02:12
cpo,CPO 2017 Ford F-150,Pre-Owned 2017 Ford F-150 XLT,Ford,24087 USD,Truck,F-150,02-04-2024 12:03
cpo,Used 2016 Chevrolet Silverado 1500,Pre-Owned 2016 Chevrolet Silverado 1500 LTZ 4WD Crew Cab 1435 LTZ w1LZ,Chevrolet,23500 USD,Truck,Silverado 1500,16-03-2024 08:59
cpo,Used 2020 GMC Sierra 1500,Pre-Owned 2020 GMC Sierra 1500 SLE Crew Cab,GMC,23313 USD,Truck,Sierra 1500,02-04-2024 08:16
cpo,Used 2022 Ford Edge,Pre-Owned 2022 Ford Edge SEL,Ford,23293 USD,SUV,Edge,04-11-2024 01:14
cpo,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,23105 USD,SUV,Equinox,22-05-2024 00:21
cpo,Used 2021 Chevrolet Blazer,Pre-Owned 2021 Chevrolet Blazer 3LT,Chevrolet,23067 USD,SUV,Blazer,30-03-2024 12:11
cpo,Used 2016 Chevrolet Suburban,Pre-Owned 2016 Chevrolet Suburban LT,Chevrolet,23000 USD,SUV,Suburban,30-03-2024 20:52
cpo,Used 2018 GMC Sierra 1500,Pre-Owned 2018 GMC Sierra 1500 SLT Crew Cab,GMC,22719 USD,Truck,Sierra 1500,01-01-2024 13:02
cpo,Used 2022 Buick Encore GX,Pre-Owned 2022 Buick Encore GX Preferred,Buick,22606 USD,SUV,Encore GX,12-05-2024 07:55
cpo,Used 2020 Toyota RAV4,Pre-Owned 2020 Toyota RAV4 XLE,Toyota,22556 USD,SUV,RAV4,06-03-2024 00:49
cpo,Used 2021 Chevrolet Equinox,Pre-Owned 2021 Chevrolet Equinox LT,Chevrolet,22233 USD,SUV,Equinox,26-04-2024 19:07
cpo,Used 2020 Ford Edge,Pre-Owned 2020 Ford Edge SEL,Ford,22145 USD,SUV,Edge,13-04-2024 06:52
cpo,Used 2022 GMC Terrain,Pre-Owned 2022 GMC Terrain SLE,GMC,24498 USD,SUV,Terrain,21-06-2024 04:10